titre,entreprise,lieu,remote,description,lien,tags,date_scraping,source
Masseur:in,Ruperti Hotels GmbH & Co KG,Ainring,False,"<p>Wir suchen eine/n engagierte/n Masseur (m/w/d) zur Verstärkung unseres Teams. In dieser Position sind Sie verantwortlich für die Durchführung professioneller Massagen, um das Wohlbefinden und die G",https://www.arbeitnow.com/jobs/companies/ruperti-hotels-gmbh-co-kg/masseurin-ainring-3469,"Beauty, Wellness",2026-05-02,arbeitnow
Praktikum Influencer Marketing & Partnerships (m/w/d),Shapemate,Cologne,True,"<p>Start zum 15.05.2026 👇</p>
<p>🔍 Wir suchen jemanden, der nicht nur Follower zählt. sondern Beziehungen aufbaut, die wirklich konvertieren.</p>
<p>Wir sind Shapemate, ein junges Startup mit der Miss",https://www.arbeitnow.com/jobs/companies/shapemate/praktikum-influencer-marketing-partnerships-cologne-349825,"Remote, Marketing and Communication",2026-05-02,arbeitnow
Praktikum Content Marketing & Creation (m/w/d),Shapemate,Cologne,True,"<p>Start zum 15.05.2026 👇</p>
<p>🔍 Wir suchen jemanden, der Content nicht nur postet - sondern bewegt.</p>
<p>Wir sind Shapemate, ein junges Startup mit der Mission, Fitness tracking einfacher und per",https://www.arbeitnow.com/jobs/companies/shapemate/praktikum-content-marketing-creation-cologne-67762,"Remote, Marketing and Communication",2026-05-02,arbeitnow
Kosmetikerin,EVAY cosmetics,Hagen,False,"<p>Du liebst es, Kunden zu sichtbaren Ergebnissen zu verhelfen und arbeitest präzise, verantwortungsbewusst und mit Leidenschaft in der Kosmetik? Dann bist du bei uns genau richtig.</p>
<p>Unser etabl",https://www.arbeitnow.com/jobs/companies/evay-cosmetics/kosmetikerin-hagen-478710,"Beauty, Wellness",2026-05-02,arbeitnow
Werkstudent/in Social Media,paselo GmbH,Münster,True,"<p>paselo ist eine der am schnellsten wachsenden D2C-Marken für Hunde-Ergänzungsfuttermittel im DACH-Raum. Wir entwickeln wissenschaftlich fundierte Produkte, die Hunden helfen — länger, aktiver und g",https://www.arbeitnow.com/jobs/companies/paselo-gmbh/werkstudent-in-social-media-munster-247291,"Remote, Social Media Manager",2026-05-02,arbeitnow
Content Lead (m/w/d) - Social Media,Dreamlight Labs GmbH,Frankfurt am Main,False,"<p>Dreamlight Experiences ist ein Eventveranstalter mit Fokus auf eigene, hochwertige Live-Formate.</p>
<p>Wir entwickeln und produzieren ein breites Spektrum an Events – darunter:</p>
<ul>
<li>Kinder",https://www.arbeitnow.com/jobs/companies/dreamlight-labs-gmbh/content-lead-social-media-frankfurt-am-main-459780,Marketing and Communication,2026-05-02,arbeitnow
Praxissemester KI-Anwendungsmanagement & Prozessautomatisierung (m/w/d),Apricus Solar AG,Dortmund,False,"<p>Du willst KI nicht nur konsumieren, sondern wirklich einsetzen. Dann bist du hier richtig.</p>
<p>Im Praxissemester bei Apricus Solar AG übernimmst du echte Verantwortung: Du automatisierst Prozess",https://www.arbeitnow.com/jobs/companies/apricus-solar-ag/praxissemester-ki-anwendungsmanagement-prozessautomatisierung-dortmund-282772,Online Marketing,2026-05-02,arbeitnow
Projektleiter Photovoltaik Gewerbe- & Großanlagen (m/w/d),Apricus Solar AG,Dortmund,False,"<p>Als Projektleiter Photovoltaik Großanlagen (m/w/d) bei der Apricus Solar AG werden Sie Teil eines Teams, das die Welt grüner gestaltet. In einem spannenden Umfeld mit Solarkraftwerken in Rekordgröß",https://www.arbeitnow.com/jobs/companies/apricus-solar-ag/projektleiter-photovoltaik-gewerbe-grossanlagen-dortmund-248584,Project Management,2026-05-02,arbeitnow
Performance Marketing Manager (m/w/d),Marks Uhren,Hamburg,False,"<p>Marks Uhren ist ein spezialisierter Luxusuhrenhändler. Seit über 15 Jahren arbeitet unser ambitioniertes Team mit Leidenschaft daran, die Sammlungen der Uhrenliebhaber:innen zu erweitern.</p>
<p>Da",https://www.arbeitnow.com/jobs/companies/marks-uhren/performance-marketing-manager-hamburg-369518,Online Marketing,2026-05-02,arbeitnow
GRC Consultant,Matproof,Berlin,False,"<p>Matproof is an EU-native compliance automation platform built in Hamburg. We help companies achieve and maintain compliance with DORA, ISO 27001, SOC 2, NIS2, GDPR, and the EU AI Act — all from one",https://www.arbeitnow.com/jobs/companies/matproof/grc-consultant-berlin-49563,Business Consulting,2026-05-02,arbeitnow
