titre,entreprise,lieu,salaire_min,salaire_max,remote,description,lien,date_scraping,source
Data Scientist – Prompt Engineering (Japonais / Coréen) – Mission Internationale,INFOGENE,,,,False,Nous recherchons 1 à 2 Data Scientists spécialisés en Prompt Engineering pour intervenir sur un projet d?adaptation linguistique et culturelle d?une solution d?IA destinée aux professionnels du secteu,https://fr.indeed.com/viewjob?jk=7463677b591b447f&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
"Data scientist - Digital transformation / Analyse IFRS9 - Innovation / Digital / Projet / Organisation - La Defense, Ile de France, France",Societe Generale,,,,False,"Vos missions au quotidien

Rejoindre RISQ/ERM/PRO c’est intégrer l’équipe en charge de la production et de la certification du coût du risque IFRS9, un indicateur clé du compte de résultat et de la co",https://careers.societegenerale.com/offres-d-emploi/data-scientist-digital-transformation-analyse-ifrs9-260005G2-fr?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Expert Data Scientist - IA Générative & Computer Vision H/F,CELAD,Clermont-Ferrand,,,False,"Détail du poste

A LIRE ATTENTIVEMENT AVANT DE POSTULER ??? 2 jours de télétravail / semaine - ?? Clermont-Ferrand - ?? Expérience de 5 ans minimumEnvie de rejoindre une équipe où la tech et les proje",https://www.hellowork.com/fr-fr/emplois/76781842.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
ALT 2026_Apprentice Data scientist Customer Care Centre (H/F),3510 AIRBUS SAS,,,,False,"Job Description: Envie de déployer vos ailes ? Et si votre aventure commençait avec nous ? Quel que soit le métier de vos rêves, nous avons peut-être l’apprentissage qu’il vous faut ! Vous rejoindrez ",https://ag.wd3.myworkdayjobs.com/en-US/Airbus/job/ALT-2026-Apprentice-Data-scientist-Customer-Care-Centre--H-F-_JR10391970?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Data scientist - Computer vision & Analyse 3D (H/F),Tech4KIN,,,,False,"Data Scientist Senior – Computer Vision & Analyse 3D (H/F)

Notre cabinet accompagne un acteur majeur du secteur des infrastructures ferroviaires dans le renforcement de ses équipes data afin de dével",https://fr.linkedin.com/jobs/view/data-scientist-computer-vision-analyse-3d-h-f-at-tech4kin-4384866828?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Data Scientist – Études & Intelligence Stratégique,Trickstr,,,,False,"Chez Trickstr, on transforme des données bruitées — presse, réseaux sociaux, sources institutionnelles, forums — en insights stratégiques pour des décideurs qui n’ont pas le temps de douter de ce qu’o",https://fr.jobrapido.com/jobpreview/3501138723439902720?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Alternance – Data scientist F/H,EDF,,,,False,"ref: FRA-REC-2026-25293

Autres métiers-Tout autre métier

CDI

Lyon 01 (69001)

EDF

Offre proposée par EDF, sur la plateforme Talents Handicap, pour l'emploi des personnes en situation de handicap (",https://fr.indeed.com/viewjob?jk=972ce8cb6fb7f1ce&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Expert Data Scientist - IA Générative & Computer Vision (F/H) - Freelance,Collective.work,Clermont-Ferrand,,,False,"Taux journalier (TJM): 300 à 360 €/j

A LIRE ATTENTIVEMENT AVANT DE POSTULER ⬇

🏠 2 jours de télétravail / semaine - 📍 Clermont-Ferrand - 🛠 Expérience de 5 ans minimum

Envie de rejoindre une équipe o",https://fr.jooble.org/jdp/-5858785229140702133?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Data Scientist - F/H - CDI,FDJ United,Rilhac-Rancon,,,False,"A PROPOS DE FDJ UNITEDChez FDJ UNITED, nous ne faisons pas que proposer des jeux d'argent et de hasard, nous les réinventons en permanence. FDJ UNITED est un champion européen des jeux d'argent et de ",https://www.jobijoba.com/fr/annonce/54/d2806991da07303499903090c4289b53?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Alternance - Data Scientist H/F,Michelin,Clermont-Ferrand,,,False,"Profil recherché :

Localisation : Clermont Ferrand

Niveau d'études : Bac +3 ou Bac +4 en Ingénieurie statistique IA

Niveau B2 en anglais minimum

Date de début : Septembre 2026

Durée: 1 ou 2 ans

",https://labonnealternance.apprentissage.beta.gouv.fr/emploi/offres_emploi_partenaires/699644ec2ba5fc475eee7db3/data-scientist?romes=M1405&radius=30&job_name=Data+scientist&activeItems=partnerJob%253A699644ec2ba5fc475eee7db3&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
