titre,entreprise,lieu,pays,salaire_min,salaire_max,salaire_devise,remote,contrat,description,lien,date_offre,date_scraping,source
DATA SCIENTIST (H/F),France Travail,Colombes,FR,,,EUR,False,À plein temps,"Nous recherchons une personne ouverte d'esprit, dynamique et capable de sortir des sentiers battus. Vous devez savoir vous organiser et remplir vos objectifs en toute autonomie, en respectant le cahier des charges technique, les coûts et délais. Vous devrez faire preuve de curiosité et être capable de travailler en dehors de votre zone de confort. Une attitude positive et un bon état d'esprit sont des qualités indispensables pour réussir à ce poste. Vos projets concerneront plusieurs thèmes liés",https://candidat.francetravail.fr/offres/recherche/detail/207JPXY,2026-04-23,2026-04-24,jsearch
Data Scientist,Altametris,Saint-Denis,FR,,,EUR,False,À plein temps,"Dans le cadre du développement de ses activités autour de la donnée et de l’intelligence artificielle, Altametris (filiale de SNCF Réseau) renforce son équipe Data Science.
Le poste s’inscrit au cœur des enjeux de transformation numérique liés à l’analyse de données complexes issues de capteurs embarqués (images, LiDAR, nuages de points 3D). L’objectif est de concevoir et déployer des solutions innovantes permettant d’automatiser l’analyse, d’améliorer la détection d’anomalies et de valoriser le",https://fr.linkedin.com/jobs/view/data-scientist-at-altametris-4405099141,2026-04-24,2026-04-24,jsearch
Data Scientist – Optimisation Marchés France - CDI,NW,Paris,FR,,,EUR,False,À plein temps,"• Concevoir des stratégies de certification innovantes en lien avec les gestionnaires de réseaux afin de valoriser nos unités de stockage sur les marchés de l’électricité.

• Développer des outils et fonctionnalités techniques permettant d’automatiser nos procédés existants.

• Adapter les stratégies de valorisation existantes aux transformations à venir sur les marchés de l’électricité via la recherche opérationnelle.

Tech Stack :
• Pandas, Numpy

• ML: Scikit-learn, Pytorch, Xgboost,

• Pytho",https://www.welcometothejungle.com/fr/companies/le-groupe-nw/jobs/data-scientist-optimisation-marches-france-cdi_paris,2026-04-21,2026-04-24,jsearch
Data Scientist | Machine Learning,SoTalent,Réau,FR,,,EUR,False,Prestataire,"Data Scientist (Machine Learning & Industrial Analytics)
📍 Réau, France
📅 Contract: 8-month contract (full-time)
💼 Industry: Aerospace / Industrial Engineering / High-Tech Manufacturing
🏢 Work Setting: On-site (day shift)
About the Role
Join a high-tech industrial environment where data directly drives engineering and operational decisions. As a Data Scientist, you will support technical teams in developing and deploying advanced analytics and machine learning solutions to optimise complex syste",https://fr.linkedin.com/jobs/view/data-scientist-machine-learning-at-sotalent-4403700901,2026-04-24,2026-04-24,jsearch
Chargé(e) de mission Développeur - développeuse / Data scientist confirmé(e) -Peren 237 H/F,Direction générale des entreprises (DGE),Paris,FR,,,EUR,False,À plein temps,"Intégré(e) au sein d’une équipe de plus de 20 expert(e)s en développement logiciel, IA et sciences des données, vous contribuerez et porterez directement certains projets inscrits à la feuille de route annuelle du PEReN. Vous pourrez ainsi contribuer à :- Auditer le fonctionnement d’algorithmes en production déployés par des grandes plateformes (modération de contenus, recommandation, classement, tarification, etc.) en mettant en place des méthodes de collecte et d’analyse de données adaptées ; ",https://choisirleservicepublic.gouv.fr/offre-emploi/chargee-de-mission-developpeur---developpeuse--data-scientist-confirmee--peren-237-hf-reference-MEF_2026-29708/,2026-04-20,2026-04-24,jsearch
Data Scientist H/F,SIMMT,Versailles,FR,,,EUR,False,À plein temps et Stage,"Détail du poste

Au sein du BMD, la section d'analyse et de recherche opérationnelle (SARO) est composée de et qui ont pour missions de :data scientistsdata engineers- réaliser des analyses de données et des modélisation mathématiques (statistiques, ) au profit des différents experts de la SIMMT ;machine learning- répondre aux besoins et problématiques « métiers » en définissant les modèles mathématiques ou d'IA les mieux adaptés ;- intégrer les modèles réalisés afin d'automatiser l'exécution de",https://www.hellowork.com/fr-fr/emplois/78303352.html,2026-04-23,2026-04-24,jsearch
Consultant.e Confirmé.e - data science et IA,Groupe Talents Handicap,FR,FR,,,EUR,False,À plein temps,"Description du poste
En tant qu'organisateur de forums de recrutement, Talents Handicap accompagne de très nombreuses entreprises & organisations en France dans leurs recrutements de collaborateurs en situation de handicap. Participant actuellement à l'un de nos forums.

L'entreprise Wavestone recherche actuellement des profils :

Description de l'entreprise

Rejoignez un cabinet de conseil international qui accompagne les grandes transformations stratégiques.

Nous sommes Wavestone : des expert",https://www.meteojob.com/jobs/53558484,2026-04-24,2026-04-24,jsearch
Data Scientist (H/F),IKOS CONSULTING,Levallois-Perret,FR,,,EUR,False,À plein temps,Ikos recherche un Data Scientist (F/H) pour renforcer ses équipes. Le travail consiste à réaliser pour l'un de nos clients les activités suivantes : - Automatisation de banc de test - Planification - Développement des tableaux de bord Les prérequis indispensables pour la réalisation de ce projet sont : - Posséder un diplôme d'ingénieur dans le domaine des mathématiques - Témoigner d'une première expérience dans le secteur du ferroviaire - Maitriser Python,https://candidat.francetravail.fr/offres/recherche/detail/207GKQK,2026-04-21,2026-04-24,jsearch
Alternance - Data Scientist - Master 2 H/F,EDF,Colombes,FR,,,EUR,False,À plein temps et Stage,"Les missions du poste
Au croisement d'enjeux essentiels et captivants, rejoignez un groupe à la dimension internationale, champion de la croissance bas carbone et activement engagé dans la lutte contre le réchauffement climatique ! Rejoindre EDF, c'est également travailler dans un Groupe porteur de valeurs fortes, qui innove avec de solides actifs industriels et vous confie des missions qui ont du sens. Vous avez le goût du service client, un esprit d'équipe et avez envie de relever des défis co",https://www.hellowork.com/fr-fr/emplois/78303740.html,2026-04-23,2026-04-24,jsearch
DGEF 75 - Data scientist - Chargé(e) de valorisation des données sur les demandeurs d'Asile en France,Ministere de l'Interieur,Paris,FR,,,EUR,False,À plein temps,"Description du poste

Versant

Fonction publique d'Etat

Catégorie

Catégorie A (cadre)

Nature de l'emploi

Emploi ouvert aux fonctionnaires et/ou contractuels

Domaine et métier

Numérique - Data Scientist

Type de poste

Technique et spécialisé

Statut du poste

Vacant

Intitulé du poste

DGEF 75 - Data scientist - Chargé(e) de valorisation des données sur les demandeurs d'Asile en France

Description du poste

Groupe RIFSEEP : 3

Votre environnement professionnel :

La direction générale des",https://lesjeudis.com/fr/job/dgef-75-data-scientist-chargee-de-valorisation-des-donnees-sur-les-demandeurs-dasile-en-france-420870,2026-04-19,2026-04-24,jsearch
