hash_id,titre,entreprise,lieu,secteur,description,lien,date_scraping,source
1bf56636d1ede8f6,Data Engineer / Développeur BI BigData H/F,AIR FRANCE,N/A,Informatique / Tech,,,2026-05-02,serpapi
df1d087fa1a2de06,"Data Engineer Databricks H/F - 92320 Châtillon, France",Kicklox,"Châtillon, France",Informatique / Tech,,,2026-05-02,serpapi
b71dbe4c77b94671,Alternance – Data Engineer H/F,BForBank,"Île-de-France, France",Informatique / Tech,,,2026-05-02,serpapi
435029003c1889ca,ekino - CDI - Data Engineer Confirmé(e) F/H,Havas France,"Pantin, France",Informatique / Tech,,,2026-05-02,serpapi
480b377f8c652dac,Alternance - Data Engineer Risque de crédit (H/F) - 12/24 mois,BNP Paribas,"Île-de-France, France",Informatique / Tech,,,2026-05-02,serpapi
3527253f24eb3c9e,Junior Data Engineer,Gemseason,France,Informatique / Tech,,,2026-05-02,serpapi
b09084c39583d114,Data Engineer (All Genders),Dailymotion,"Issy-les-Moulineaux, France",Informatique / Tech,,,2026-05-02,serpapi
77f5e57ab87ce998,Data Engineer Cloud  (F/H),AS International Group,"Paris, France",Informatique / Tech,,,2026-05-02,serpapi
ccfa4db136fd05f5,Data Engineer Airflow Confirmé 🏆,Almatek,"Île-de-France, France",Informatique / Tech,,,2026-05-02,serpapi
9017fe59e9c11211,Data Engineer - Senior Consultant,JAKALA,"Caen, France (+ 1 autre)",Informatique / Tech,,,2026-05-02,serpapi
8b312b35e8d02281,"Senior Python Data Scientist – AI Finance Platform | Paris, FR | Hybride",Emagine Consulting,"Paris, France",Informatique / Tech,,,2026-05-02,serpapi
1d4be6c8eb29c4d0,Data Scientist / Machine Learning Engineer,Société Générale Assurances,"Arrondissement de Nanterre, France",Informatique / Tech,,,2026-05-02,serpapi
d46a9360dbcc7ff2,Data Scientist F/H,Safran Aircraft Engines,"Moissy-Cramayel, France",Informatique / Tech,,,2026-05-02,serpapi
58b1c087ab62be36,Data Scientist / Machine Learning Engineer – IA & Data Innovation,AVA2I,"Île-de-France, France",Informatique / Tech,,,2026-05-02,serpapi
70d5a0f553130e33,ALTERNANCE - DATA SCIENTIST – MASTER 2 F/H (2026-168314),EDF,"Île-de-France, France",Informatique / Tech,,,2026-05-02,serpapi
1ab0f1b4498f9216,Apprenticeship - Digital Engineer - Data Scientist F/M,Technip Energies France,"Villeurbanne, France",Informatique / Tech,,,2026-05-02,serpapi
bff23b7588474847,Product Analytics - Data Scientist,Criteo,"Paris, France",Informatique / Tech,,,2026-05-02,serpapi
85ed6f8e56b8d7b8,STAGE - Data Scientist H/F - 6 mois,BNP Paribas,"Île-de-France, France",Informatique / Tech,,,2026-05-02,serpapi
aaa972fe5cd98793,HOP! Data Scientist en Alternance F/H,AIR FRANCE,"Auvergne-Rhône-Alpes, France",Informatique / Tech,,,2026-05-02,serpapi
d2fab391240d9913,Data Scientist Confirmé – Données,APTIC,"Issy-les-Moulineaux, France",Informatique / Tech,,,2026-05-02,serpapi
29633c0e1bd7a872,Data Analyst (Power BI) — Apprenticeship,Sephora,"Île-de-France, France",Informatique / Tech,,,2026-05-02,serpapi
3d1af3a715c5e8a2,Alternance Data Analyst Supply Chain MRO F/H,Safran Aircraft Engines,"Île-de-France, France",Informatique / Tech,,,2026-05-02,serpapi
ff229eb1be0b966b,DATA ANALYST (POWER BI) F/H (2026-170840),Enedis,"Île-de-France, France",Informatique / Tech,,,2026-05-02,serpapi
a27c2ac55f250b94,"ALTERNANCE - Data analyst H/F | Schiltigheim, FR",Crédit Agricole S.A.,"Schiltigheim, France",Informatique / Tech,,,2026-05-02,serpapi
dadc8d2170326dfd,Data Analyst (H/F),INFORMATIS TECHNOLOGY SYSTM,"Île-de-France, France",Informatique / Tech,,,2026-05-02,serpapi
baeabd5aebc73d72,Data Analyst (CDD 12 mois),AbbVie,"Boulogne-Billancourt, France",Informatique / Tech,,,2026-05-02,serpapi
6d0cf54d133d7066,Data analyst client,FreeMat,"Puteaux, France",Informatique / Tech,,,2026-05-02,serpapi
b93deec2e462593b,Offre n° 1951767 Data analyst (H/F),France Travail,"Occitanie, France",Informatique / Tech,,,2026-05-02,serpapi
d5be8447875a382c,Data Analyst (F/H),Michael Page France,"Frépillon, France",Informatique / Tech,,,2026-05-02,serpapi
533e45693935c6d3,alternance 24 mois – data analyst transformation supply chain,Sanofi,"Marcy-l'Étoile, France",Informatique / Tech,,,2026-05-02,serpapi
